provider_id,provider_name,policy_url,domains
136,Clickpoint,http://site.clickpoint.com/privacy,clickpoint.com cpmktg.com
143,Connexity,http://connexity.com/gb/privacy-policy/,become.co.uk become.com beso.com besser-online-kaufen.de bizrate-images.com bizrate.co.uk bizrate.com bizrate.de buycentral.at buycentral.co.uk buycentral.de buycentral.fr buycentral.it connexity.net decido.de decido.fr finden-kaufen-sparen.de lowpriceshopper.co.uk lowpriceshopper.com m.cxt.ms mammothshopper.com mammutshopper.de prezzi.decido.it pricegrabber.co.uk pricegrabber.com prixmoinscher.com r.cxt.ms retrevo.com s.cxt.ms shoppingfacile.fr shopzilla-images.com shopzilla.co.uk shopzilla.com shopzilla.de shopzilla.fr shopzilla.it spardeingeld.de super-shopper.co.uk super-shopper.de t.cxt.ms
144,Constant Contact,https://www.constantcontact.com/legal/privacy-statement,constantcontact.com
147,Conversive,https://conversive.nl/privacy/,ant-*.conversive.nl ant.conversive.nl conversive.nl
149,IBM,https://www.ibm.com/customer-engagement/digital-marketing/gdpr,data.cmcore.com ibm.co.jp unica.com
153,Crimtan,https://crimtan.com/privacy-ctl/,a.ctnsnet.com apac.ctnsnet.com b.ctnsnet.com bg.ctnsnet.com bpac.ctnsnet.com bru.ctnsnet.com bsg.ctnsnet.com bus.ctnsnet.com cdn.ctnsnet.com ctasnet.com ctnsnet.com gcm.ctnsnet.com i.ctnsnet.com inl.ctnsnet.com ipac.ctnsnet.com
154,Criteo,https://www.criteo.com/privacy,ads.as.criteo.com ads.eu.criteo.com ads.us.criteo.com b.hlserve.com cas.as.criteo.com cas.criteo.com cas.eu.criteo.com cas.us.criteo.com cat.fr.eu.criteo.com cat.sv.us.criteo.com cat.va.us.criteo.com criteo.com criteo.net
159,DAC,http://www.dac.co.jp/english/utility/rule,as.ief.impact-ad.jp img.ak.impact-ad.jp impact-ad.jp s.f1.impact-ad.jp x1.impact-ad.jp
161,DataXu,https://www.dataxu.com/gdpr/,ads.w55c.net cdn.w55c.net cti.w55c.net dataxu.net i.w55c.net jasperlabs.com pm.w55c.net tags.w55c.net w55c.net
162,PulsePoint,https://www.pulsepoint.com/privacy-policy,bh.contextweb.com contextweb.com tag.contextweb.com tr.contextweb.com
